类别,标准编号,标准名称
装备技术,TB/T2710.1-2015,机车、动车组用空气压缩机组技术条件 第1部分：活塞空气压缩机组
装备技术,TB/T2710.2-2015,机车、动车组用空气压缩机组技术条件 第2部分：螺杆空气压缩机组
装备技术,TB/T2711-2015,机车、动车组用空气压缩机组试验方法
装备技术,TB/T2715-2016,机车、动车用柴油机喷油泵
装备技术,TB/T2716-2016,机车、动车用柴油机喷油器
装备技术,TB/T2731-1996,内燃、电力机车制动缸技术条件
装备技术,TB/T2741-1996,内燃动车承受冲击能力的规定
装备技术,TB/T2744-2002,动力装置用柴油机认证方法
装备技术,TB/T2745-2017,动力装置用柴油机认证试验
装备技术,TB/T2746.2-2022,机车柴油机 试验方法 第2部分：出厂试验
装备技术,TB/T2760.1-2015,机车、动车组转速传感器 第1部分：光电转速传感器
装备技术,TB/T2760.2-2016,机车车辆转速传感器 第2部分：霍尔式速度传感器
装备技术,TB/T2760.3-2018,机车车辆转速传感器 第3部分：磁电式速度传感器
装备技术,TB/T2762-2017,机车车辆电气设备 继电器
装备技术,TB/T2765.1-2024,列车运行监控系统 第1部分：技术条件
装备技术,TB/T2765.2-2015,列车运行监控装置 第2部分：记录事项
装备技术,TB/T2765.3-2015,列车运行监控装置 第3部分：语音和电鸣音规范
装备技术,TB/T2765.4-2015,列车运行监控装置 第4部分：专用IC卡
装备技术,TB/T2765.5-2015,列车运行监控装置 第5部分：调车灯显接口盒
装备技术,TB/T2769-2008,重型轨道车试验方法
装备技术,TB/T2775.1-2005,铁路运输用施封锁 第1部分：棚车锁
装备技术,TB/T2775.2-2005,铁路运输用施封锁 第2部分：集装箱锁
装备技术,TB/T2775.3-2005,铁路运输用施封锁 第3部分：罐车锁
装备技术,TB/T2779-2015,机车、动车用柴油机凸轮轴
装备技术,TB/T2782-2023,机车车辆称重台
装备技术,TB/T2783-2017,牵引动力装置用柴油机排放试验
装备技术,TB/T2797-1997,电气化铁道负序电流计算条件和方法
装备技术,TB/T2798-1997,交流电气化铁道引起三相电压不平衡度的测量取值和预测计算方法
装备技术,TB/T2799-1997,电气化铁道谐波电压畸变率计算条件和方法
装备技术,TB/T2803-2003,电气化铁道用断路器技术条件
装备技术,TB/T2805-2021,牵引供电设备绝缘水平
装备技术,TB/T2808-1997,电气化铁道电力机车与牵引供电系统继电保护及自动装置配合的技术要求
装备技术,TB/T2809-2017,电气化铁路用铜及铜合金接触线
装备技术,TB/T2813-2015,铁道货车摩擦减振器斜楔
装备技术,TB/T2817-2018,铁路货车用辗钢整体车轮
装备技术,TB/T2824-2008,电气化铁路变电所预应力混凝土圆杆
装备技术,TB/T2826-1997,电气化铁道密集型并联电容器技术条件
装备技术,TB/T2831-1997,电气化铁道牵引供电远动系统技术条件
装备技术,TB/T2832-2021,交流电气化铁路对油（气）管道干扰的防护
装备技术,TB/T2834-2016,铁路无线调车灯显设备
装备技术,TB/T2838-2015,铁道车辆旋压制动缸
装备技术,TB/T2840-1997,铁道客车用发电机联组带技术条件
装备技术,TB/T2841-2019,铁路车辆空气弹簧
装备技术,TB/T2843-2015,机车车辆用橡胶弹性元件通用技术条件
装备技术,TB/T2844-1997,铁道车辆用材料耐火性能试验 按材料种类和应用情况确定试验方法
装备技术,TB/T2845.1-2019,车辆减速器 第1部分：钳夹式减速器
装备技术,TB/T2845.2-2018,车辆减速器 第2部分：内撑式减速器
装备技术,TB/T2846-2015,铁路地面信号产品振动试验方法
装备技术,TB/T2852-2015,轨道电路通用技术条件
装备技术,TB/T2853-2018,轨道电路系统 25Hz相敏轨道电路
装备技术,TB/T2860-1997,ZK3-A型电空转辙机
装备技术,TB/T2860.2-2020,电空转辙机 第2部分：ZK4型转辙机
装备技术,TB/T2871-1998,内燃机车滤芯结构完整性检验方法
装备技术,TB/T2872-1998,内燃机车滤芯材料和液体相容性检验方法
装备技术,TB/T2873-1998,内燃机车滤芯抗倒塌、抗破裂性检验方法
装备技术,TB/T2874-1998,内燃机车滤芯额定端向载荷检验方法
装备技术,TB/T2884.1-2006,铁道货车承载鞍专用计量器具 第1部分：承载鞍制造用计量器具
装备技术,TB/T2885-1998,电气化铁道专用油浸式吸流变压器
装备技术,TB/T2887-2022,电气化铁路变电所用变压器
装备技术,TB/T2888-2010,电气化铁路自耦变压器
装备技术,TB/T2889-1998,电气化铁道低压交流配电屏 （柜）技术条件
装备技术,TB/T2890-1998,电气化铁道专用并联电容器技术条件
装备技术,TB/T2891-1998,电气化铁道并联电容器静态型高次谐波过流保护技术条件
装备技术,TB/T2892-2018,电气化铁路用直流电源装置
装备技术,TB/T2895-1997,道岔转换阻力 密贴力
装备技术,TB/T2897-1998,铁路碎石道床底碴
装备技术,TB/T2898-2018,铁路简支梁试验方法 桥位竖向挠度试验方法
装备技术,TB/T2903-1998,30型脱轨器
装备技术,TB/T2911-2016,铁道车辆铆接通用技术条件
装备技术,TB/T2916-2017,铁道车辆用双向闸瓦间隙调整器
装备技术,TB/T2917.1-2019,铁路客车及动车组照明 第1部分：通用要求
